City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Rikitea,-23.1203,-134.9692,298.85,71,89,4.98,PF,1612674745
Ushuaia,-54.8,-68.3,281.15,76,75,4.63,AR,1612674946
Tortolì,39.9256,9.6572,293.15,26,40,9.26,IT,1612674996
Bluff,-46.6,168.3333,289.01,79,0,6.3,NZ,1612674997
Mildura,-34.2,142.15,299.26,34,23,4.63,AU,1612674997
East London,-33.0153,27.9116,294.15,83,20,2.57,ZA,1612674997
Lapeer,43.0514,-83.3188,264.15,86,90,2.57,US,1612674997
Qeshm,26.9581,56.2719,292.15,77,75,2.06,IR,1612674783
Garrel,52.95,8.0167,269.26,84,100,3.58,DE,1612674997
Laranjeiras do Sul,-25.4078,-52.4161,287.24,81,0,2.83,BR,1612674745
Adrar,20.5022,-10.0711,284.55,45,99,4.68,MR,1612674997
Vaini,-21.2,-175.2,300.15,89,75,4.63,TO,1612674997
Hilo,19.7297,-155.09,296.15,60,75,2.06,US,1612674997
Punta Arenas,-53.15,-70.9167,282.15,76,75,6.69,CL,1612674998
Cape Town,-33.9258,18.4232,294.26,73,75,8.23,ZA,1612674813
Upernavik,72.7868,-56.1549,266.32,78,43,3.46,GL,1612674998
Brigantine,39.4101,-74.3646,278.15,70,1,1.54,US,1612674998
Mataura,-46.1927,168.8643,296.98,53,19,2.27,NZ,1612674998
Albany,42.6001,-73.9662,267.04,55,20,0.85,US,1612674748
Atuona,-9.8,-139.0333,299.58,79,90,10.71,PF,1612674957
Soe,-9.8607,124.284,298.62,78,82,4.64,ID,1612674998
Severo-Kuril'sk,50.6789,156.125,267.63,93,94,9.69,RU,1612674753
Fortuna,40.5982,-124.1573,282.04,100,90,2.57,US,1612674998
Longyearbyen,78.2186,15.6401,264.15,79,75,5.66,SJ,1612674969
Mineral Wells,32.8085,-98.1128,278.15,87,1,3.38,US,1612674998
Tsimmerbude,54.675,20.1347,266.48,84,0,1.0,RU,1612674999
Torbay,47.6666,-52.7314,275.93,93,40,10.8,CA,1612674999
Saldanha,-33.0117,17.9442,291.15,82,13,5.14,ZA,1612674999
De-Kastri,51.4667,140.7833,254.88,87,91,6.11,RU,1612674999
Yumen,40.2833,97.2,277.77,45,100,1.76,CN,1612674999
Pangnirtung,66.1451,-65.7125,267.6,80,93,1.19,CA,1612674999
Salalah,17.0151,54.0924,297.15,64,75,1.54,OM,1612674989
Freeport,40.6576,-73.5832,275.93,74,1,1.54,US,1612674999
Avarua,-21.2078,-159.775,301.15,74,7,3.09,CK,1612674999
Qaanaaq,77.484,-69.3632,262.52,92,100,1.49,GL,1612674750
Faanui,-16.4833,-151.75,301.33,67,1,3.62,PF,1612674970
General Cepeda,25.3833,-101.45,284.07,43,0,2.37,MX,1612675000
San Quintín,30.4833,-115.95,288.25,70,0,0.82,MX,1612675000
Hermanus,-34.4187,19.2345,291.48,95,98,5.13,ZA,1612675000
Vassouras,-22.4039,-43.6625,294.15,94,75,2.06,BR,1612675000
Jamestown,42.097,-79.2353,264.15,57,1,2.57,US,1612674950
Burgeo,47.6167,-57.6152,272.31,89,75,12.86,CA,1612675000
Cabo San Lucas,22.8909,-109.9124,291.15,59,20,2.57,MX,1612675000
Nikolskoye,59.7035,30.7861,261.15,85,75,8.0,RU,1612675000
Naze,28.3667,129.4833,292.15,59,40,6.69,JP,1612674979
Busselton,-33.65,115.3333,289.82,95,100,1.34,AU,1612675001
Saint George,37.1041,-113.5841,282.04,33,1,2.06,US,1612674947
Tasiilaq,65.6145,-37.6368,274.15,51,75,8.23,GL,1612675001
Cherskiy,68.75,161.3,252.35,81,0,0.98,RU,1612675001
La Reforma,25.0833,-108.05,285.93,91,6,1.32,MX,1612675001
Thompson,55.7435,-97.8558,238.15,68,40,6.69,CA,1612674807
Saskylakh,71.9167,114.0833,232.5,78,21,3.72,RU,1612674985
Geraldton,-28.7667,114.6,296.15,73,90,10.29,AU,1612675001
Chekhov,55.1431,37.4711,256.15,78,75,5.0,RU,1612674921
Tuktoyaktuk,69.4541,-133.0374,246.15,76,90,7.72,CA,1612675001
Bethel,41.3712,-73.414,270.93,79,1,1.13,US,1612675001
Mount Gambier,-37.8333,140.7667,291.15,59,90,8.75,AU,1612675002
Nemuro,43.3236,145.575,267.15,79,75,4.63,JP,1612674825
Temuco,-38.7333,-72.6,287.15,100,90,2.57,CL,1612674727
Grindavik,63.8424,-22.4338,273.15,64,0,7.2,IS,1612675002
Sola,-13.8833,167.55,301.11,71,41,1.57,VU,1612675002
Tiksi,71.6872,128.8694,241.33,85,100,2.82,RU,1612674936
Codrington,-38.2667,141.9667,289.75,60,72,7.13,AU,1612675002
Kavieng,-2.5744,150.7967,302.75,63,30,2.03,PG,1612675002
Yerbogachën,61.2767,108.0108,258.15,94,100,5.11,RU,1612675002
Sumbe,-11.2061,13.8437,297.05,82,100,0.83,AO,1612675002
Tilichiki,60.4667,166.1,263.28,90,100,5.78,RU,1612675002
Pevek,69.7008,170.3133,250.7,87,0,1.63,RU,1612674805
Nanortalik,60.1432,-45.2371,269.77,93,88,1.18,GL,1612675003
Puerto Ayora,-0.7393,-90.3518,298.15,95,69,2.96,EC,1612674973
Ostrovnoy,68.0531,39.5131,259.19,92,100,4.41,RU,1612675003
Krutaya Gorka,55.3649,73.2231,266.15,86,75,12.0,RU,1612675003
Souillac,-20.5167,57.5167,303.15,70,40,4.63,MU,1612675003
Dikson,73.5069,80.5464,239.7,86,91,4.48,RU,1612675003
Butaritari,3.0707,172.7902,300.35,80,60,9.43,KI,1612674745
Norman Wells,65.282,-126.8329,240.15,75,75,1.54,CA,1612674754
Barrow,71.2906,-156.7887,252.15,77,90,6.17,US,1612674745
Lebu,-37.6167,-73.65,287.1,93,16,1.49,CL,1612674944
Port Alfred,-33.5906,26.891,295.37,77,33,2.68,ZA,1612674997
Uray,60.1247,64.7758,260.25,96,100,5.29,RU,1612675003
Sovetskiy,61.3614,63.5842,247.93,90,100,6.05,RU,1612675004
Nizwá,22.9333,57.5333,292.44,28,0,1.59,OM,1612675004
Stornoway,58.2093,-6.3865,275.37,64,20,8.23,GB,1612675004
Aykhal,66.0,111.5,240.17,83,50,3.95,RU,1612675004
Isangel,-19.55,169.2667,300.45,72,26,2.4,VU,1612674812
Lālmohan,22.3384,90.7419,297.12,42,22,6.76,BD,1612675004
Cidreira,-30.1811,-50.2056,292.11,77,4,3.48,BR,1612675004
Bahía Honda,22.9036,-83.1592,297.29,88,5,4.78,CU,1612675004
Yellowknife,62.456,-114.3525,231.48,66,1,1.03,CA,1612674849
Bandarbeyla,9.4942,50.8122,298.42,72,17,6.28,SO,1612675004
Ariquemes,-9.9133,-63.0408,295.74,98,98,0.85,BR,1612675004
Lata,40.1629,-8.3327,283.15,88,22,1.13,PT,1612675004
San Cristobal,7.7669,-72.225,291.99,86,100,0.86,VE,1612674932
Buford,34.1207,-84.0043,274.82,100,90,3.6,US,1612675005
Carnarvon,-24.8667,113.6333,303.15,100,40,5.66,AU,1612674749
Clyde River,70.4692,-68.5914,250.15,84,40,1.03,CA,1612675005
Sartell,45.6216,-94.2069,247.15,64,1,3.6,US,1612675005
Tignère,7.3667,12.65,289.58,30,24,1.32,CM,1612675005
Katsuura,35.1333,140.3,290.37,39,0,5.14,JP,1612675005
Pāchora,20.6667,75.35,297.32,19,0,4.59,IN,1612675005
Yar-Sale,66.8333,70.8333,243.59,87,100,8.13,RU,1612675005
Hautmont,50.2508,3.9214,274.26,34,100,2.24,FR,1612675005
Lüderitz,-26.6481,15.1594,292.46,74,0,10.91,NA,1612675006
Huarmey,-10.0681,-78.1522,295.09,76,100,3.4,PE,1612675006
Tuatapere,-46.1333,167.6833,291.91,62,4,2.88,NZ,1612674754
New Norfolk,-42.7826,147.0587,295.37,45,15,1.79,AU,1612674745
Lakes Entrance,-37.8811,147.981,296.48,53,23,1.79,AU,1612675006
Sitka,57.0531,-135.33,272.15,64,90,2.06,US,1612675006
Bredasdorp,-34.5322,20.0403,292.15,94,99,1.54,ZA,1612674938
Mianwali,32.5741,71.5264,292.27,33,5,0.68,PK,1612675006
São Filipe,14.8961,-24.4956,293.72,73,28,6.65,CV,1612674953
Leningradskiy,69.3833,178.4167,249.11,72,33,2.22,RU,1612675006
Shimoda,34.6667,138.95,289.15,41,20,5.14,JP,1612675006
Ubinskoye,55.3068,79.6802,274.13,99,100,8.93,RU,1612675007
Kerema,-7.9631,145.7785,303.3,67,80,3.51,PG,1612675007
Manggar,-2.8833,108.2667,302.88,67,100,6.23,ID,1612675007
Biak,-0.9131,122.8766,302.34,63,100,0.67,ID,1612674954
Morondava,-20.2833,44.2833,301.46,76,1,3.98,MG,1612675007
Shama,33.6102,104.2852,279.3,53,100,1.47,CN,1612675007
Ponta do Sol,32.6667,-17.1,285.37,65,35,2.24,PT,1612674938
Berlevåg,70.8578,29.0864,269.59,91,100,11.54,NO,1612675007
Richards Bay,-28.783,32.0377,297.14,81,64,3.93,ZA,1612675007
Hue,16.4667,107.6,299.15,69,40,3.6,VN,1612675007
Vila,42.0304,-8.1588,273.71,93,57,0.52,PT,1612675008
Yantal',56.8471,105.2542,264.67,94,100,3.66,RU,1612675008
Oriximiná,-1.7656,-55.8661,298.2,87,86,1.55,BR,1612675008
Hithadhoo,-0.6,73.0833,300.84,74,76,5.57,MV,1612675008
Aswān,24.0934,32.907,286.74,65,0,3.03,EG,1612675008
Santa Isabel Rio Negro,-0.4139,-65.0192,296.49,92,73,0.02,BR,1612675008
George Town,5.4112,100.3354,305.15,45,20,3.09,MY,1612674829
Kaitangata,-46.2817,169.8464,292.04,75,3,3.58,NZ,1612675008
Chokurdakh,70.6333,147.9167,240.86,84,48,2.47,RU,1612675008
Mayo,38.8876,-76.5119,278.71,75,1,3.09,US,1612675008
Luau,-10.7073,22.2247,291.72,99,100,2.44,AO,1612675009
Coracora,-15.0333,-73.7833,284.44,83,100,1.16,PE,1612675009
Ilulissat,69.2167,-51.1,270.15,43,0,10.8,GL,1612675009
Kumta,14.4167,74.4,304.0,28,83,1.16,IN,1612675009
Saint-Philippe,-21.3585,55.7679,302.15,70,0,3.6,RE,1612674955
